,review,clear_review,predicted,candidat
518,MLP officiel JLMelenchon EmmanuelMacron Mme LePen est une postfasciste antieuropéenne les électeurs de Mélenchon qui votent pour elle sont soit non gauchistes et donc de la même race que LePen soit stupide naïf sils pensent quils seraient mieux avec elleElection2022,mlp officiel jlmelenchon emmanuelmacron mme lepen postfasc antieuropéen électeur mélenchon votent non gauchist donc rac lepen stupid naïf sil pensent quil mieux elleelection2022,0,mélenchon
544,Élections législatives Nous nous félicitons quune majorité de la direction du NPA ait décidé de répondre favorablement à la proposition de rencontre de lUnion populaire et se félicite de la dynamique autour de la candidature de Mélenchon Source  httpstcoaqU7N7mjzH httpstcodKC4WclO7C,élect législ féliciton quun major direct npa décid répondr favor proposit rencontr lunion populair félicit dynam autour candidatur mélenchon sourc httpstcoaqu7n7mjzh httpstcodkc4wclo7c,1,mélenchon
514,GWGoldnadel Le Figaro MÉLENCHON se nourrit du clientélisme communautaire  httpstcoin0esnoeqp,gwgoldnadel figaro mélenchon nourr clientel communautair httpstcoin0esnoeqp,0,mélenchon
539,Les insoumis ne veulent pas discuter avec le PS pour les législatives Une erreur selon un dirigeant socialiste interrogé par Chez Pol qui prévient  Il ny a pas un JeanLuc Mélenchon par circonscription  httpstcolW9NPuUQlI,insoum veulent discut p législ erreur selon dirig social interrog chez pol prévient ny a jeanluc mélenchon circonscript httpstcolw9npuuql,0,mélenchon
553,MarxFanAccount Mélenchon on connaîtPoutou serait à découvrir ,marxfanaccount mélenchon connaîtpoutou découvr,1,mélenchon
512,À lheure où lextrêmedroite est aux portes du pouvoir comment comprendre que le PS EELV et le PCF aient davantage combattu Mélenchon que cette même extrêmedroite au point den oublier de défendre leur propre programme Un minimum dhonnêteté ne serait pas de trop httpstcocy6xbDT9vJ,lheur où lextrêmedroit port pouvoir comment comprendr p eelv pcf davantag combattu mélenchon cet extrêmedroit point den oubli défendr propr programm minimum dhonnêtet trop httpstcocy6xbdt9vj,0,mélenchon
515,FrontPopOff apollineWakeUp Mélenchon a toujours été un socialtraitre Ne pas oublier quil a tapiné au PS pendant des décennies Il est aigri davoir vu Marine attirer davantage à elle lélectorat populaire Un électeur frontiste est juste un communiste qui sest fait cambrioler trois fois Comme le dit,frontpopoff apollinewakeup mélenchon a toujour socialtraitr oubli quil a tapin p pend décen aigr davoir vu marin attir davantag lélectorat populair électeur frontist just commun sest fait cambriol trois fois comm dit,1,mélenchon
481, Un vote Mélenchon à 21 dans les sondages aurait eu un effet encore plus mobilisateur Ipsos dans LeMonde du 842022 donnait à JLM un score à 166 ce qui reste très inférieur au résultat 22 Dès lors on peut se demander sil ny a pas un biaispresidentielles2022,vot mélenchon 21 sondag effet encor plus mobilis ipsos lemond 842022 don jlm scor 166 rest tres inférieur résultat 22 des lor peut demand sil ny a biaispresidentielles2022,0,mélenchon
562,Une des causes du succès de Mélenchon cest la complaisance dont il a bénéficié Mon dernier article paru ce matin dans Le Figaro httpstcotAhCMATGMe,caus succes mélenchon cest complais dont a bénéfici derni articl paru matin figaro httpstcotahcmatgm,0,mélenchon
517,Mélenchon à 18 heures 50 sur BFM ce soir Les Insoumis en position de force pour les Législatives JeVoteUnionPopulaire aux Législatives pour virer les PlayMobils,mélenchon 18 heur 50 bfm soir insoum posit forc législ jevoteunionpopulair législ vir playmobil,0,mélenchon
533, Il y a 10 ans le rapport Terra Nova disait  lélectorat ouvrier a disparu pour la gauche il en faut un nouveau avec les jeunes les bobos des centresvilles et les banlieues Cest exactement lélectorat de Mélenchon  Vijay MonanyMacronBenVoyons httpstcoHWCzPaxQWn,a 10 an rapport terr nov dis lélectorat ouvri a disparu gauch faut nouveau jeun bobos centresvill banlieu cest exact lélectorat mélenchon vijay monanymacronbenvoyon httpstcohwczpaxqwn,0,mélenchon
561,Une des causes du succès de Mélenchon cest la complaisance dont il a bénéficié Mon dernier article paru ce matin dans Le Figaro httpstcotAhCMATGMe,caus succes mélenchon cest complais dont a bénéfici derni articl paru matin figaro httpstcotahcmatgm,0,mélenchon
558,Ce soir jécoute Mélenchon sur BFM à 18 H 50 et demain soir jéteins ma Télé pour le débat entre deux Médiocres Abstention24Avril,soir jécout mélenchon bfm 18 h 50 demain soir jétein tel débat entre deux médiocr abstention24avril,0,mélenchon
554,leotropcaliente BouchezC RevPermanente LPL lycee AnasseKazib Je ne comprends pas pourquoi 40 des jeunes ne se sont pas déplacés si ils voulaient Mélenchon au 2nd tour ,leotropcalient bouchezc revpermanent lpl lyce anassekazib comprend pourquoi 40 jeun déplac si voul mélenchon 2nd tour,0,mélenchon
580,MLP officiel Je voulais JeanLuc Mélenchon au premier tour et finalement après avoir lu votre programme je voterai pour vousJespère simplement que vous demanderez lavis à la population concernant le voile car je ne veux pas décider pour ma voisine comment elle doit shabiller,mlp officiel voul jeanluc mélenchon premi tour final apres avoir lu programm vot vousjesper simpl demand lav popul concern voil car veux décid voisin comment doit shabill,0,mélenchon
557,On a parlé politique aujourdhui au taff et javais envie de crierDes gens qui ont voté pour Mélenchon qui assument haut et fort de dire quils voterons le stylo,a parl polit aujourdhui taff jav envi crierd gen vot mélenchon assument haut fort dir quil vot stylo,1,mélenchon
501,Mediavenir Ça pique les idées de Mélenchon maintenant,mediaven ça piqu idé mélenchon mainten,0,mélenchon
669,Un porteparole dEELV demande un changement de direction Nous sommes en très mauvaise posture à laube des législatives Nos possibilités dalliance avec La France Insoumise sont fragilisées par nos attaques délibérées et répétées contre Mélenchon httpstcozjDsYbB3vL,porteparol deelv demand chang direct tres mauvais postur laub législ possibil dallianc franc insoumis fragilis attaqu déliber répet contr mélenchon httpstcozjdsybb3vl,0,mélenchon
488,Nième cas de ploutocratie à la FI Mélenchon à investi son CM dans notre circo contre le choix des militants Un coup de force quAntoine Léaument na pas eu le courage dassumer Tchao bonne campagne solo  Ça risque dêtre difficile de récupérer la 10eme de lEssonne,niem cas ploutocrat fi mélenchon invest cm circo contr choix milit coup forc quantoin léau na courag dassum tchao bon campagn solo ça risqu dêtr difficil récuper 10em lesson,1,mélenchon
583,  En politique jai des adversaires et des ennemis Je sais pour qui je ne voterai pas dimanche Yvan Le Bolloch comédien et soutien de JeanLuc Mélenchon httpstcowrp1c5kMWP,polit jai adversair ennem sais vot dimanch yvan bolloch comédien soutien jeanluc mélenchon httpstcowrp1c5kmwp,0,mélenchon
588,Fin dun mythe au risque dachever de désespérer ce qui reste du PS et dEELV le vote utile en faveur de Mélenchon na pas eu lieu Cest essentiellement grâce aux gains propres de lavenirencommun quil a progressé httpstcow6DKvXcazq,fin dun myth risqu dachev désesper rest p deelv vot util faveur mélenchon na lieu cest essentiel grâc gain propr lavenirencommun quil a progress httpstcow6dkvxcazq,1,mélenchon
590,Nième cas de ploutocratie à la FI Mélenchon à investi son CM dans notre circo contre le choix des militants Un coup de force quAntoine Léaument na pas eu le courage dassumer Tchao bonne campagne solo  Ça risque dêtre difficile de récupérer la 10eme de lEssonne,niem cas ploutocrat fi mélenchon invest cm circo contr choix milit coup forc quantoin léau na courag dassum tchao bon campagn solo ça risqu dêtr difficil récuper 10em lesson,1,mélenchon
